Generation,evals,avg,std,min,max,best_one,fitness_best_one
21,372,[  7.15       491.62102317],[0.35707142 4.70216453],[  7.         460.87404988],[  8.         494.75607621],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 17, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 460.8740498783493)"
22,350,[  7.278      489.22438144],[0.44801339 5.05556662],[  7.         460.87404988],[  8.         494.69528331],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 17, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 460.8740498783493)"
23,350,[  7.252      486.44233724],[0.43416126 4.90696103],[  7.         460.87404988],[  8.         490.30489595],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 17, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 460.8740498783493)"
24,344,[  7.308      484.66100975],[0.46166655 5.46950434],[  7.         460.87404988],[  8.         488.74384204],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 17, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 460.8740498783493)"
25,364,[  7.126      482.25809909],[0.33184936 5.59054235],[  7.         460.87404988],[  8.         488.42527203],"[1, 5, 7, 9, 8, 25, 15, 14, 12, 17, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 460.8740498783493)"
26,342,[  7.038     478.7615931],[0.19119623 4.75182456],[  7.        455.5111321],[  8.         485.33268928],"[4, 11, 8, 5, 7, 17, 16, 14, 20, 15, 12, 6, 2, 9, 1, 24, 18, 19, 13, 10, 3, 22, 25, 23, 21]","(7.0, 455.5111321024721)"
27,360,[  7.054    475.875151],[0.2260177 4.6068193],[  7.        455.5111321],[  8.         482.00871429],"[4, 11, 8, 5, 7, 17, 16, 14, 20, 15, 12, 6, 2, 9, 1, 24, 18, 19, 13, 10, 3, 22, 25, 23, 21]","(7.0, 455.5111321024721)"
28,358,[  7.09       473.17461591],[0.28618176 3.63410404],[  7.        455.5111321],[  8.         477.27717167],"[4, 11, 8, 5, 7, 17, 16, 14, 20, 15, 12, 6, 2, 9, 1, 24, 18, 19, 13, 10, 3, 22, 25, 23, 21]","(7.0, 455.5111321024721)"
29,348,[  7.016      471.31383889],[0.1254751  3.90480488],[  7.        455.5111321],[  8.         474.62968107],"[4, 11, 8, 5, 7, 17, 16, 14, 20, 15, 12, 6, 2, 9, 1, 24, 18, 19, 13, 10, 3, 22, 25, 23, 21]","(7.0, 455.5111321024721)"
30,346,[  7.034     469.5702193],[0.18122914 4.4268443 ],[  7.        455.5111321],[  8.        472.6763039],"[4, 11, 8, 5, 7, 17, 16, 14, 20, 15, 12, 6, 2, 9, 1, 24, 18, 19, 13, 10, 3, 22, 25, 23, 21]","(7.0, 455.5111321024721)"
31,344,[  7.054      467.30873481],[0.2260177  4.73316664],[  7.        455.5111321],[  8.        472.6763039],"[4, 11, 8, 5, 7, 17, 16, 14, 20, 15, 12, 6, 2, 9, 1, 24, 18, 19, 13, 10, 3, 22, 25, 23, 21]","(7.0, 455.5111321024721)"
32,360,[  7.07       463.88642905],[0.25514702 3.29646833],[  7.         449.74167132],[  8.         468.00109918],"[1, 5, 7, 9, 8, 10, 17, 14, 12, 3, 6, 2, 25, 11, 4, 16, 18, 19, 13, 15, 20, 22, 24, 23, 21]","(7.0, 449.74167131596664)"
33,334,[  7.       462.199438],[0.         2.93815785],[  7.         449.74167132],[  7.         466.42932583],"[1, 5, 7, 9, 8, 10, 17, 14, 12, 3, 6, 2, 25, 11, 4, 16, 18, 19, 13, 15, 20, 22, 24, 23, 21]","(7.0, 449.74167131596664)"
