Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,500,[  7.484      637.77340911],[ 0.50768494 29.44085735],[  7.         515.59708515],[  9.         679.34112737],"[18, 13, 4, 9, 21, 5, 8, 3, 1, 2, 22, 16, 14, 12, 24, 19, 25, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 515.5970851462529)"
1,222,[  7.474      638.16201085],[ 0.51119859 31.14100655],[  7.         515.59708515],[  9.        714.8836062],"[18, 13, 4, 9, 21, 5, 8, 3, 1, 2, 22, 16, 14, 12, 24, 19, 25, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 515.5970851462529)"
2,410,[  7.46       616.10845846],[ 0.49839743 24.64867731],[  7.         515.59708515],[  8.         650.87182494],"[18, 13, 4, 9, 21, 5, 8, 3, 1, 2, 22, 16, 14, 12, 24, 19, 25, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 515.5970851462529)"
3,406,[  7.454      598.49169418],[ 0.4978795  21.25981476],[  7.         515.59708515],[  8.         626.35359354],"[18, 13, 4, 9, 21, 5, 8, 3, 1, 2, 22, 16, 14, 12, 24, 19, 25, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 515.5970851462529)"
4,432,[  7.444      582.62287759],[ 0.4968541  17.11034652],[  7.         514.99153387],[  8.         605.75691072],"[18, 13, 4, 9, 21, 5, 3, 8, 1, 2, 22, 16, 14, 12, 24, 19, 25, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 514.9915338707889)"
5,436,[  7.38       571.04377809],[ 0.48538644 15.01516477],[  7.         503.77338835],[  8.         588.12496496],"[25, 21, 24, 8, 5, 22, 20, 2, 18, 19, 3, 23, 16, 12, 7, 4, 11, 1, 6, 14, 15, 10, 9, 17, 13]","(7.0, 503.7733883525129)"
6,432,[  7.3        562.21852429],[ 0.45825757 15.82914918],[  7.         503.77338835],[  8.         577.40705025],"[25, 21, 24, 8, 5, 22, 20, 2, 18, 19, 3, 23, 16, 12, 7, 4, 11, 1, 6, 14, 15, 10, 9, 17, 13]","(7.0, 503.7733883525129)"
7,428,[  7.274      552.95588222],[ 0.44600897 16.08207358],[  7.         503.77338835],[  8.         570.72739756],"[25, 21, 24, 8, 5, 22, 20, 2, 18, 19, 3, 23, 16, 12, 7, 4, 11, 1, 6, 14, 15, 10, 9, 17, 13]","(7.0, 503.7733883525129)"
8,422,[  7.258      542.97790509],[ 0.437534   15.07198491],[  7.         503.77338835],[  8.        558.9650183],"[25, 21, 24, 8, 5, 22, 20, 2, 18, 19, 3, 23, 16, 12, 7, 4, 11, 1, 6, 14, 15, 10, 9, 17, 13]","(7.0, 503.7733883525129)"
9,416,[  7.268      531.77209119],[ 0.4429176  12.71937442],[  7.         499.79004156],[  8.         552.30062727],"[23, 22, 4, 2, 20, 24, 15, 13, 6, 9, 21, 25, 10, 7, 14, 16, 3, 5, 11, 8, 1, 17, 12, 19, 18]","(7.0, 499.79004156159857)"
